# THALASSA - ORBITAL ELEMENTS                                                                                                                                                                           
#================================================================================================================================================================                                       
#                  MJD               SMA [km]                ECC [-]              INC [deg]             RAAN [deg]              AOP [deg]               MA [deg]                                        
 5.904300000000000E+04  7.627999999999997E+03  2.719525331514402E-16  0.000000000000000E+00  0.000000000000000E+00  0.000000000000000E+00  0.000000000000000E+00
 5.904400000000000E+04  7.628007091151780E+03  3.223275638034455E-04  1.213169992356215E-04  8.022600161416057E+01  2.323455122368661E+01  2.784132084948417E+02
 5.904500000000000E+04  7.628043731836906E+03  6.398808345980584E-04  2.846128435280253E-04  7.311847547586375E+01  4.363852058232257E+01  2.869906499344966E+02
 5.904600000000000E+04  7.628092423590492E+03  9.471301450863452E-04  4.955970330128560E-04  6.972019100250736E+01  6.049455951829518E+01  2.954069918651236E+02
 5.904700000000000E+04  7.628130057755978E+03  1.236557846663339E-03  7.486450908837805E-04  6.883671305712984E+01  7.501487664591795E+01  3.036444657749079E+02
 5.904800000000000E+04  7.628139462432510E+03  1.499629220132205E-03  1.031044359220068E-03  6.960125428131393E+01  8.801605854181227E+01  3.117531934518760E+02
 5.904900000000000E+04  7.628117989946711E+03  1.728806838737949E-03  1.325403224188718E-03  7.141658269874725E+01  1.000070485691055E+02  3.198213390060679E+02
 5.905000000000000E+04  7.628078771054781E+03  1.919252728992658E-03  1.611606256457256E-03  7.382590764730875E+01  1.113608574269034E+02  3.279325709572617E+02
 5.905100000000000E+04  7.628043926807015E+03  2.069086827556761E-03  1.869250976098894E-03  7.641514631848874E+01  1.224488841954632E+02  3.361295245624513E+02
 5.905200000000000E+04  7.628033129713719E+03  2.178030161717265E-03  2.081006667442692E-03  7.875380545377416E+01  1.337146908815589E+02  3.443991628127771E+02
 5.905300000000000E+04  7.628053357835372E+03  2.245383617483162E-03  2.236788050256251E-03  8.037292039633311E+01  1.456811799712689E+02  3.526876373904349E+02
 5.905400000000000E+04  7.628095149673663E+03  2.268830245345035E-03  2.338074835626882E-03  8.078695966050486E+01  1.588919081240364E+02  9.370201632915759E-01
 5.905500000000000E+04  7.628137346024443E+03  2.245003907446542E-03  2.401026445313783E-03  7.958103921980054E+01  1.737868292082450E+02  9.122294348303921E+00
 5.905600000000000E+04  7.628157923149782E+03  2.171472778022900E-03  2.456013417349867E-03  7.658856240974718E+01  1.905091268160302E+02  1.726685596629277E+01
